Sample,EGFR,PDGFRA,PTEN,NF1,TP53,RB1,CDKN2A,CDKN2B,MDM2,MDM4,CDK4,CDK6,MET,PIK3CA,PIK3R1,PIK3CB,IDH1,IDH2,ATRX,CIC,FUBP1,NOTCH1,TERT,MGMT,OLIG2,GFAP,SOX2,NES,CD44,CHI3L1,VEGFA,MKI67,BCAN,DLL3,POSTN,SERPINE1,TIMP1,LGALS1,ANXA1,CASP8
GSM405353,8.0099,7.6229,7.1524,5.7646,7.2483,8.0475,4.6186,4.3636,5.0931,7.6925,10.6304,5.856,5.6502,7.0883,7.9764,7.1492,11.0272,8.6435,8.3374,8.651,7.9237,7.6697,5.2354,7.237,7.5648,11.4518,9.2254,8.9355,9.8396,14.0856,10.9578,7.3472,9.4202,6.7478,7.5033,9.3358,13.0799,13.6699,8.3858,5.5082
GSM405354,5.7579,4.6308,8.0916,5.2067,6.2624,7.8552,5.1864,5.0795,5.748,7.7032,10.6463,6.3541,6.4321,8.2346,8.8422,6.8194,10.6726,8.1031,6.7489,7.9641,7.72,7.2294,4.9624,7.7585,8.3688,11.5808,7.563,8.7556,8.0883,11.6098,7.8686,5.9767,7.3597,5.8014,8.3702,9.6113,13.7515,12.9527,8.4256,5.2106
GSM405355,6.6095,4.7765,6.7335,5.7102,7.0228,8.1292,4.6358,4.0784,5.3637,8.3079,10.7944,5.4012,5.3286,7.394,10.3609,7.2672,10.8978,8.7759,9.6503,8.1098,8.5102,7.6031,5.0392,5.7603,9.9569,11.2599,10.5534,9.6842,8.7431,9.8926,10.079,7.3021,11.0145,7.4077,4.786,7.479,11.0829,12.2719,7.3993,4.8822
GSM405356,6.3056,4.8897,6.9674,5.8236,5.8214,8.277,5.0873,5.9263,4.9932,8.3975,9.6432,5.4462,5.7133,7.847,10.7722,7.9733,10.4875,8.0258,9.1729,8.0838,8.3062,7.4701,5.1128,5.6325,9.3826,9.9336,10.0539,7.7253,8.3741,7.7545,8.8703,5.5115,9.5996,7.1666,3.9499,6.9424,9.0884,11.0609,7.9142,4.8725
GSM405361,5.5404,5.8561,8.0885,5.789,6.0387,8.1454,4.7047,5.5874,5.815,7.1453,10.2318,4.8926,5.4944,7.5882,8.0609,6.8363,11.132,7.633,7.5427,7.7954,8.3252,7.2346,5.2554,6.2659,8.9475,10.0508,6.0863,7.9376,6.2703,11.0156,9.8517,5.6416,8.0848,5.4277,6.7308,7.6835,13.091,12.0672,7.5197,4.9061
GSM405362,6.5174,4.7917,6.8193,5.3904,6.5484,6.843,8.9798,7.1728,4.4813,8.2172,10.5962,5.558,5.7972,6.8941,9.5762,6.7391,10.6439,8.1833,7.4105,8.7649,8.1095,7.6874,5.7197,6.1072,7.5858,10.8852,9.1074,8.6434,8.5757,13.717,13.1583,6.699,9.3406,6.3865,6.9984,10.2603,12.5187,13.0542,8.1871,4.9819
GSM405363,5.3861,5.5016,7.6677,6.0014,6.3645,8.326,4.6824,4.5218,5.2269,8.8338,10.8213,6.0995,11.7854,7.4153,8.7078,6.9327,11.2694,8.2632,7.844,8.4941,8.2582,7.8107,5.2733,6.2594,8.7127,8.6033,10.1521,9.0831,7.5681,12.2295,11.1865,7.4416,8.9576,6.2225,3.802,7.2353,12.1129,12.43,7.2955,4.9671
GSM405364,5.5015,4.3688,7.6603,4.8802,5.6579,7.4717,8.6434,6.6602,4.9233,8.2454,10.0126,5.5738,5.745,7.8138,9.3542,6.76,10.1802,8.6524,6.9026,8.1138,8.3255,7.489,5.6466,6.9318,4.3964,10.1937,7.5857,7.8165,8.3856,13.1932,8.0192,7.5973,6.5851,5.5326,7.6903,8.33,12.5354,12.7496,8.6008,4.8916
GSM405365,5.4332,5.0119,6.9452,5.6859,5.797,7.9935,4.3033,4.2253,4.7927,6.7085,10.6173,4.9041,5.9112,7.3255,9.4474,6.5557,10.4921,9.0104,7.6118,7.8851,8.5931,7.6798,5.1731,5.4405,8.2443,12.4999,7.7382,7.9001,7.9311,13.4909,8.7437,5.9275,8.3964,6.1879,4.616,6.9682,13.1049,12.1843,8.0888,4.7005
GSM405366,5.3145,4.4778,8.0008,5.5576,7.0219,7.7837,6.5962,6.0916,5.4502,9.0283,10.8225,5.0754,5.3188,7.9099,8.3949,6.9111,10.2428,8.1543,7.7036,7.9926,8.0988,8.0585,5.2265,5.8983,8.4692,10.8153,8.2837,7.1925,6.8825,4.0115,9.4193,8.1797,8.9843,6.3409,7.2654,6.9703,11.5844,11.488,6.7617,4.7831
